Price,Pack Type
174.0,Premium
232.0,Premium
199.0,Premium
216.0,Premium
1030.0,Premium
273.0,Premium
203.0,Premium
203.0,Premium
240.0,Premium
206.0,Premium
1035.0,Premium
158.0,Premium
183.0,Premium
221.0,Premium
235.0,Premium
204.0,Premium
1003.0,Premium
253.0,Premium
950.0,Premium
207.0,Premium
213.0,Premium
233.0,Premium
184.0,Premium
190.0,Premium
155.0,Premium
165.0,Premium
233.0,Premium
206.0,Premium
206.0,Premium
197.0,Premium
176.0,Premium
244.0,Premium
187.0,Premium
253.0,Premium
189.0,Premium
177.0,Premium
5149.0,Premium
270.0,Premium
224.0,Premium
240.0,Premium
299.0,Premium
200.0,Premium
242.0,Premium
191.0,Premium
2180.0,Premium
222.0,Premium
189.0,Premium
241.0,Premium
219.0,Premium
191.0,Premium
200.0,Premium
211.0,Premium
155.0,Premium
343.0,Premium
161.0,Premium
174.0,Premium
188.0,Premium
222.0,Premium
189.0,Premium
212.0,Premium
769.0,Premium
163.0,Premium
9092.0,Premium
200.0,Premium
192.0,Premium
229.0,Premium
238.0,Premium
195.0,Premium
948.0,Premium
204.0,Premium
214.0,Premium
280.0,Premium
273.0,Premium
209.0,Premium
208.0,Premium
227.0,Premium
3334.0,Premium
169.0,Premium
187.0,Premium
211.0,Premium
169.0,Premium
953.0,Premium
300.0,Premium
237.0,Premium
253.0,Premium
215.0,Premium
156.0,Premium
196.0,Premium
268.0,Premium
186.0,Premium
209.0,Premium
225.0,Premium
603.0,Premium
185.0,Premium
180.0,Premium
238.0,Premium
201.0,Premium
241.0,Premium
205.0,Premium
157.0,Premium
923.0,Premium
192.0,Premium
215.0,Premium
203.0,Premium
189.0,Premium
185.0,Premium
269.0,Premium
202.0,Premium
253.0,Premium
176.0,Premium
169.0,Premium
211.0,Premium
206.0,Premium
199.0,Premium
929.0,Premium
215.0,Premium
168.0,Premium
211.0,Premium
194.0,Premium
229.0,Premium
216.0,Premium
241.0,Premium
185.0,Premium
178.0,Premium
1043.0,Premium
198.0,Premium
244.0,Premium
258.0,Premium
272.0,Premium
175.0,Premium
202.0,Premium
198.0,Premium
205.0,Premium
293.0,Premium
199.0,Premium
202.0,Premium
204.0,Premium
1066.0,Premium
1053.0,Premium
243.0,Premium
318.0,Premium
181.0,Premium
229.0,Premium
190.0,Premium
158.0,Premium
231.0,Premium
224.0,Premium
256.0,Premium
220.0,Premium
173.0,Premium
182.0,Premium
144.0,Premium
221.0,Premium
236.0,Premium
142.0,Premium
3849.0,Premium
172.0,Premium
155.0,Premium
222.0,Premium
202.0,Premium
216.0,Premium
199.0,Premium
1038.0,Premium
204.0,Premium
269.0,Premium
248.0,Premium
261.0,Premium
225.0,Premium
166.0,Premium
211.0,Premium
195.0,Premium
189.0,Premium
201.0,Premium
244.0,Premium
262.0,Premium
202.0,Premium
237.0,Premium
147.0,Premium
168.0,Premium
167.0,Premium
201.0,Premium
233.0,Premium
229.0,Premium
197.0,Premium
222.0,Premium
1031.0,Premium
1003.0,Premium
198.0,Premium
228.0,Premium
180.0,Premium
200.0,Premium
256.0,Premium
244.0,Premium
248.0,Premium
247.0,Premium
201.0,Premium
184.0,Premium
190.0,Premium
162.0,Premium
204.0,Premium
953.0,Premium
180.0,Premium
197.0,Premium
2113.0,Premium
191.0,Premium
190.0,Premium
231.0,Premium
229.0,Premium
239.0,Premium
179.0,Premium
197.0,Premium
222.0,Premium
151.0,Premium
207.0,Premium
873.0,Premium
789.0,Premium
213.0,Premium
3305.0,Premium
216.0,Premium
249.0,Premium
188.0,Premium
179.0,Premium
238.0,Premium
154.0,Premium
1189.0,Premium
208.0,Premium
169.0,Premium
1074.0,Premium
172.0,Premium
177.0,Premium
167.0,Premium
215.0,Premium
188.0,Premium
170.0,Premium
258.0,Premium
245.0,Premium
212.0,Premium
188.0,Premium
184.0,Premium
204.0,Premium
233.0,Premium
178.0,Premium
173.0,Premium
215.0,Premium
214.0,Premium
179.0,Premium
241.0,Premium
227.0,Premium
170.0,Premium
307.0,Premium
224.0,Premium
347.0,Premium
243.0,Premium
793.0,Premium
231.0,Premium
195.0,Premium
194.0,Premium
191.0,Premium
177.0,Premium
158.0,Premium
205.0,Premium
156.0,Premium
243.0,Premium
189.0,Premium
202.0,Premium
236.0,Premium
187.0,Premium
242.0,Premium
190.0,Premium
240.0,Premium
205.0,Premium
184.0,Premium
812.0,Premium
234.0,Premium
244.0,Premium
225.0,Premium
165.0,Premium
254.0,Premium
282.0,Premium
272.0,Premium
171.0,Premium
228.0,Premium
214.0,Premium
213.0,Premium
219.0,Premium
224.0,Premium
197.0,Premium
239.0,Premium
220.0,Premium
989.0,Premium
170.0,Premium
197.0,Premium
181.0,Premium
173.0,Premium
155.0,Premium
2128.0,Premium
215.0,Premium
217.0,Premium
280.0,Premium
183.0,Premium
837.0,Premium
177.0,Premium
247.0,Premium
152.0,Premium
1028.0,Premium
171.0,Premium
189.0,Premium
770.0,Premium
199.0,Premium
209.0,Premium
234.0,Premium
174.0,Premium
180.0,Premium
227.0,Premium
287.0,Premium
235.0,Premium
148.0,Premium
236.0,Premium
274.0,Premium
262.0,Premium
229.0,Premium
241.0,Premium
231.0,Premium
197.0,Premium
250.0,Premium
245.0,Premium
235.0,Premium
254.0,Premium
202.0,Premium
210.0,Premium
218.0,Premium
296.0,Premium
201.0,Premium
232.0,Premium
205.0,Premium
161.0,Premium
228.0,Premium
218.0,Premium
236.0,Premium
1085.0,Premium
980.0,Premium
179.0,Premium
1237.0,Premium
237.0,Premium
242.0,Premium
262.0,Premium
213.0,Premium
213.0,Premium
224.0,Premium
216.0,Premium
222.0,Premium
255.0,Premium
183.0,Premium
196.0,Premium
163.0,Premium
211.0,Premium
198.0,Premium
154.0,Premium
184.0,Premium
150.0,Premium
236.0,Premium
196.0,Premium
226.0,Premium
209.0,Premium
845.0,Premium
226.0,Premium
141.0,Premium
171.0,Premium
202.0,Premium
1039.0,Premium
230.0,Premium
211.0,Premium
154.0,Premium
259.0,Premium
198.0,Premium
259.0,Premium
189.0,Premium
236.0,Premium
145.0,Premium
225.0,Premium
171.0,Premium
187.0,Premium
833.0,Premium
169.0,Premium
993.0,Premium
161.0,Premium
187.0,Premium
200.0,Premium
3716.0,Premium
154.0,Premium
5149.0,Premium
234.0,Premium
174.0,Premium
219.0,Premium
193.0,Premium
207.0,Premium
157.0,Premium
213.0,Premium
287.0,Premium
197.0,Premium
214.0,Premium
189.0,Premium
283.0,Premium
225.0,Premium
206.0,Premium
242.0,Premium
194.0,Premium
188.0,Premium
188.0,Premium
260.0,Premium
175.0,Premium
185.0,Premium
224.0,Premium
198.0,Premium
288.0,Premium
238.0,Premium
201.0,Premium
239.0,Premium
243.0,Premium
212.0,Premium
254.0,Premium
173.0,Premium
215.0,Premium
218.0,Premium
359.0,Premium
206.0,Premium
236.0,Premium
191.0,Premium
193.0,Premium
187.0,Premium
193.0,Premium
207.0,Premium
237.0,Premium
282.0,Premium
215.0,Premium
215.0,Premium
237.0,Premium
274.0,Premium
250.0,Premium
244.0,Premium
184.0,Premium
199.0,Premium
225.0,Premium
258.0,Premium
191.0,Premium
246.0,Premium
240.0,Premium
183.0,Premium
182.0,Premium
987.0,Premium
221.0,Premium
162.0,Premium
185.0,Premium
251.0,Premium
1113.0,Premium
200.0,Premium
830.0,Premium
158.0,Premium
270.0,Premium
194.0,Premium
213.0,Premium
173.0,Premium
219.0,Premium
245.0,Premium
172.0,Premium
231.0,Premium
236.0,Premium
182.0,Premium
263.0,Premium
195.0,Premium
250.0,Premium
242.0,Premium
254.0,Premium
182.0,Premium
259.0,Premium
193.0,Premium
167.0,Premium
165.0,Premium
191.0,Premium
205.0,Premium
242.0,Premium
234.0,Premium
251.0,Premium
173.0,Premium
167.0,Premium
191.0,Premium
165.0,Premium
1077.0,Premium
245.0,Premium
231.0,Premium
236.0,Premium
193.0,Premium
227.0,Premium
205.0,Premium
210.0,Premium
228.0,Premium
190.0,Premium
183.0,Premium
221.0,Premium
199.0,Premium
305.0,Premium
213.0,Premium
181.0,Premium
245.0,Premium
230.0,Premium
245.0,Premium
182.0,Premium
201.0,Premium
270.0,Premium
980.0,Premium
198.0,Premium
194.0,Premium
238.0,Premium
240.0,Premium
210.0,Premium
194.0,Premium
858.0,Premium
242.0,Premium
200.0,Premium
227.0,Premium
234.0,Premium
1088.0,Premium
161.0,Premium
197.0,Premium
233.0,Premium
217.0,Premium
192.0,Premium
252.0,Premium
235.0,Premium
181.0,Premium
128.0,Premium
214.0,Premium
153.0,Premium
233.0,Premium
179.0,Premium
196.0,Premium
192.0,Premium
226.0,Premium
291.0,Premium
233.0,Premium
217.0,Premium
175.0,Premium
201.0,Premium
185.0,Premium
192.0,Premium
233.0,Premium
182.0,Premium
245.0,Premium
180.0,Premium
196.0,Premium
665.0,Premium
169.0,Premium
252.0,Premium
251.0,Premium
187.0,Premium
208.0,Premium
188.0,Premium
211.0,Premium
824.0,Premium
277.0,Premium
192.0,Premium
248.0,Premium
266.0,Premium
213.0,Premium
1351.0,Premium
3721.0,Premium
218.0,Premium
224.0,Premium
197.0,Premium
189.0,Premium
153.0,Premium
202.0,Premium
270.0,Premium
224.0,Premium
208.0,Premium
206.0,Premium
169.0,Premium
252.0,Premium
253.0,Premium
237.0,Premium
167.0,Premium
245.0,Premium
163.0,Premium
165.0,Premium
192.0,Premium
231.0,Premium
206.0,Premium
180.0,Premium
181.0,Premium
224.0,Premium
198.0,Premium
252.0,Premium
258.0,Premium
187.0,Premium
241.0,Premium
249.0,Premium
236.0,Premium
151.0,Premium
198.0,Premium
199.0,Premium
212.0,Premium
191.0,Premium
193.0,Premium
159.0,Premium
214.0,Premium
193.0,Premium
177.0,Premium
249.0,Premium
273.0,Premium
207.0,Premium
1003.0,Premium
209.0,Premium
191.0,Premium
205.0,Premium
198.0,Premium
247.0,Premium
256.0,Premium
196.0,Premium
222.0,Premium
165.0,Premium
996.0,Premium
216.0,Premium
198.0,Premium
193.0,Premium
228.0,Premium
239.0,Premium
173.0,Premium
188.0,Premium
197.0,Premium
207.0,Premium
183.0,Premium
222.0,Premium
203.0,Premium
224.0,Premium
201.0,Premium
261.0,Premium
273.0,Premium
215.0,Premium
249.0,Premium
227.0,Premium
167.0,Premium
147.0,Premium
222.0,Premium
185.0,Premium
199.0,Premium
186.0,Premium
253.0,Premium
241.0,Premium
128.0,Premium
214.0,Premium
273.0,Premium
212.0,Premium
204.0,Premium
153.0,Premium
185.0,Premium
147.0,Premium
194.0,Premium
226.0,Premium
234.0,Premium
197.0,Premium
242.0,Premium
240.0,Premium
253.0,Premium
203.0,Premium
209.0,Premium
257.0,Premium
184.0,Premium
210.0,Premium
244.0,Premium
187.0,Premium
198.0,Premium
225.0,Premium
936.0,Premium
193.0,Premium
186.0,Premium
180.0,Premium
237.0,Premium
953.0,Premium
219.0,Premium
226.0,Premium
237.0,Premium
170.0,Premium
202.0,Premium
172.0,Premium
178.0,Premium
205.0,Premium
192.0,Premium
264.0,Premium
166.0,Premium
187.0,Premium
247.0,Premium
2111.0,Premium
151.0,Premium
161.0,Premium
1323.0,Premium
234.0,Premium
225.0,Premium
226.0,Premium
191.0,Premium
260.0,Premium
207.0,Premium
235.0,Premium
151.0,Premium
228.0,Premium
186.0,Premium
235.0,Premium
193.0,Premium
164.0,Premium
165.0,Premium
218.0,Premium
149.0,Premium
194.0,Premium
177.0,Premium
197.0,Premium
301.0,Premium
161.0,Premium
182.0,Premium
177.0,Premium
196.0,Premium
215.0,Premium
314.0,Premium
185.0,Premium
158.0,Premium
161.0,Premium
220.0,Premium
985.0,Premium
247.0,Premium
202.0,Premium
186.0,Premium
220.0,Premium
196.0,Premium
259.0,Premium
214.0,Premium
244.0,Premium
220.0,Premium
196.0,Premium
245.0,Premium
197.0,Premium
219.0,Premium
209.0,Premium
178.0,Premium
797.0,Premium
199.0,Premium
167.0,Premium
196.0,Premium
177.0,Premium
208.0,Premium
176.0,Premium
201.0,Premium
233.0,Premium
254.0,Premium
194.0,Premium
1030.0,Premium
249.0,Premium
224.0,Premium
189.0,Premium
238.0,Premium
213.0,Premium
170.0,Premium
229.0,Premium
242.0,Premium
309.0,Premium
229.0,Premium
264.0,Premium
211.0,Premium
167.0,Premium
278.0,Premium
216.0,Premium
238.0,Premium
142.0,Premium
172.0,Premium
321.0,Premium
236.0,Premium
222.0,Premium
172.0,Premium
222.0,Premium
146.0,Premium
181.0,Premium
213.0,Premium
223.0,Premium
175.0,Premium
258.0,Premium
977.0,Premium
258.0,Premium
159.0,Premium
228.0,Premium
236.0,Premium
174.0,Premium
196.0,Premium
207.0,Premium
200.0,Premium
240.0,Premium
241.0,Premium
252.0,Premium
206.0,Premium
251.0,Premium
159.0,Premium
216.0,Premium
218.0,Premium
227.0,Premium
168.0,Premium
199.0,Premium
250.0,Premium
252.0,Premium
208.0,Premium
262.0,Premium
191.0,Premium
204.0,Premium
3782.0,Premium
258.0,Premium
217.0,Premium
222.0,Premium
229.0,Premium
211.0,Premium
167.0,Premium
203.0,Premium
204.0,Premium
158.0,Premium
225.0,Premium
164.0,Premium
239.0,Premium
202.0,Premium
146.0,Premium
174.0,Premium
239.0,Premium
176.0,Premium
172.0,Premium
159.0,Premium
167.0,Premium
186.0,Premium
224.0,Premium
168.0,Premium
202.0,Premium
217.0,Premium
196.0,Premium
160.0,Premium
148.0,Premium
247.0,Premium
156.0,Premium
175.0,Premium
190.0,Premium
237.0,Premium
201.0,Premium
188.0,Premium
240.0,Premium
238.0,Premium
202.0,Premium
221.0,Premium
170.0,Premium
245.0,Premium
161.0,Premium
1105.0,Premium
298.0,Premium
208.0,Premium
3122.0,Premium
189.0,Premium
163.0,Premium
932.0,Premium
204.0,Premium
215.0,Premium
234.0,Premium
200.0,Premium
203.0,Premium
208.0,Premium
180.0,Premium
308.0,Premium
214.0,Premium
207.0,Premium
203.0,Premium
209.0,Premium
188.0,Premium
203.0,Premium
3322.0,Premium
182.0,Premium
213.0,Premium
223.0,Premium
1113.0,Premium
179.0,Premium
164.0,Premium
183.0,Premium
237.0,Premium
323.0,Premium
191.0,Premium
1074.0,Premium
184.0,Premium
222.0,Premium
249.0,Premium
199.0,Premium
130.0,Premium
215.0,Premium
227.0,Premium
236.0,Premium
202.0,Premium
154.0,Premium
212.0,Premium
169.0,Premium
224.0,Premium
261.0,Premium
275.0,Premium
273.0,Premium
179.0,Premium
206.0,Premium
198.0,Premium
224.0,Premium
246.0,Premium
155.0,Premium
212.0,Premium
149.0,Premium
182.0,Premium
209.0,Premium
153.0,Premium
193.0,Premium
168.0,Premium
220.0,Premium
254.0,Premium
237.0,Premium
225.0,Premium
215.0,Premium
215.0,Premium
189.0,Premium
222.0,Premium
245.0,Premium
227.0,Premium
193.0,Premium
144.0,Premium
252.0,Premium
227.0,Premium
145.0,Premium
981.0,Premium
217.0,Premium
180.0,Premium
216.0,Premium
245.0,Premium
205.0,Premium
222.0,Premium
182.0,Premium
216.0,Premium
224.0,Premium
146.0,Premium
801.0,Premium
255.0,Premium
200.0,Premium
3122.0,Premium
235.0,Premium
184.0,Premium
218.0,Premium
226.0,Premium
216.0,Premium
187.0,Premium
197.0,Premium
182.0,Premium
248.0,Premium
274.0,Premium
207.0,Premium
197.0,Premium
229.0,Premium
210.0,Premium
164.0,Premium
1062.0,Premium
212.0,Premium
225.0,Premium
214.0,Premium
197.0,Premium
212.0,Premium
196.0,Premium
231.0,Premium
1020.0,Premium
219.0,Premium
204.0,Premium
151.0,Premium
225.0,Premium
169.0,Premium
153.0,Premium
203.0,Premium
226.0,Premium
149.0,Premium
199.0,Premium
255.0,Premium
315.0,Premium
3952.0,Premium
218.0,Premium
185.0,Premium
301.0,Premium
174.0,Premium
985.0,Premium
227.0,Premium
153.0,Premium
779.0,Premium
173.0,Premium
243.0,Premium
245.0,Premium
193.0,Premium
211.0,Premium
206.0,Premium
205.0,Premium
231.0,Premium
182.0,Premium
1376.0,Premium
189.0,Premium
187.0,Premium
86.0,Standard
